data_date,state,regular_usd,mid_grade_usd,premium_usd,diesel_usd
2026-03-29,Alaska,4.604,4.844,5.062,5.607
2026-03-29,Alabama,3.64,4.066,4.48,5.209
2026-03-29,Arkansas,3.399,3.848,4.196,4.81
2026-03-29,Arizona,4.635,5.028,5.338,5.943
2026-03-29,California,5.869,6.101,6.292,7.323
2026-03-29,Colorado,3.911,4.309,4.634,4.931
2026-03-29,Connecticut,3.935,4.472,4.872,5.821
2026-03-29,District of Columbia,4.159,4.756,5.108,5.643
2026-03-29,Delaware,3.864,4.455,4.747,5.714
2026-03-29,Florida,3.955,4.398,4.731,5.603
2026-03-29,Georgia,3.589,4.041,4.463,5.095
2026-03-29,Hawaii,5.421,5.598,5.867,6.606
2026-03-29,Iowa,3.287,3.544,4.134,4.861
2026-03-29,Idaho,4.266,4.554,4.807,5.499
2026-03-29,Illinois,4.21,4.801,5.278,5.156
2026-03-29,Indiana,4.004,4.557,5.044,5.199
2026-03-29,Kansas,3.258,3.59,3.925,4.548
2026-03-29,Kentucky,3.717,4.265,4.701,5.036
2026-03-29,Louisiana,3.604,4.014,4.414,5.064
2026-03-29,Massachusetts,3.796,4.367,4.759,5.688
2026-03-29,Maryland,4.0,4.554,4.901,5.747
2026-03-29,Maine,3.83,4.368,4.844,5.703
2026-03-29,Michigan,3.958,4.567,5.124,5.037
2026-03-29,Minnesota,3.419,3.85,4.345,4.877
2026-03-29,Missouri,3.411,3.837,4.143,4.607
2026-03-29,Mississippi,3.577,3.994,4.389,5.053
2026-03-29,Montana,3.703,4.032,4.367,4.782
2026-03-29,North Carolina,3.747,4.187,4.585,5.466
2026-03-29,North Dakota,3.43,3.768,4.222,4.568
2026-03-29,Nebraska,3.345,3.566,4.015,4.608
2026-03-29,New Hampshire,3.753,4.302,4.762,5.63
2026-03-29,New Jersey,3.875,4.397,4.675,5.714
2026-03-29,New Mexico,3.858,4.304,4.617,5.234
2026-03-29,Nevada,4.902,5.213,5.51,6.066
2026-03-29,New York,3.929,4.417,4.807,5.74
2026-03-29,Ohio,3.835,4.368,4.877,5.062
2026-03-29,Oklahoma,3.27,3.686,3.97,4.482
2026-03-29,Oregon,4.886,5.112,5.399,6.005
2026-03-29,Pennsylvania,3.943,4.382,4.756,5.895
2026-03-29,Rhode Island,3.822,4.501,4.918,5.679
2026-03-29,South Carolina,3.642,4.072,4.471,5.34
2026-03-29,South Dakota,3.405,3.586,4.073,4.603
2026-03-29,Tennessee,3.627,4.081,4.491,5.277
2026-03-29,Texas,3.599,4.061,4.437,4.944
2026-03-29,Utah,4.197,4.478,4.727,5.483
2026-03-29,Virginia,3.876,4.345,4.721,5.492
2026-03-29,Vermont,3.913,4.404,4.868,5.724
2026-03-29,Washington,5.322,5.577,5.82,6.566
2026-03-29,Wisconsin,3.627,4.14,4.713,4.757
2026-03-29,West Virginia,3.796,4.235,4.68,5.353
2026-03-29,Wyoming,3.844,4.154,4.442,4.991
